GPSTime,easting,northing,altitude,vel_east,vel_north,vel_up,roll,pitch,heading,angvel_z,angvel_y,angvel_x
1631664070081635,111.13501047496686,3.335444094771659,-0.027254853045151933,4.158983855481237,-5.926828687942258,0.03349830587415322,-1.581226923533087,-0.6590819620897911,-3.099034891992608,0.049771085477065456,0.1611351902275084,0.025387978562058117
1631664070231636,111.75761264831934,2.4416009708965696,-0.02232964688532063,4.1491565201620615,-5.988811996048359,0.041655123886373525,-1.578322455492506,-0.6377641161627617,-3.1035028890656173,-0.034035810520062056,0.12522001577397102,-0.011264188947721769
1631664070281637,111.96523789177344,2.1418317471383626,-0.019830037801911324,4.149222279661772,-6.001236358380428,0.05391959709119442,-1.5787798056345346,-0.6320094802294719,-3.102884351917484,0.00430537399210506,0.10562473307144114,-0.019852721083978734
1631664070431638,112.58315109249145,1.2377418220396628,-0.009354082049202184,4.086353861342326,-6.042772950201294,0.0662876625515648,-1.580715511482579,-0.6180170359771061,-3.0990716859824063,-0.0030773081852954066,0.0774760754283448,-0.013541994518183737
1631664070531639,112.98962361583055,0.6321969634806051,-0.0029093087677480173,4.046783579432232,-6.064872265299884,0.056018001367779034,-1.5795560997519096,-0.6110869719171116,-3.098388479164698,-0.006456457601967933,0.06176967048136803,0.017110829335992114
1631664070631640,113.39340842065324,0.024543580511043994,0.0021771474041890754,4.036772088791351,-6.086299102604925,0.04822614641839924,-1.5769565942117136,-0.6056506023296607,-3.099305526266342,-0.0024065760705303243,0.045940680656402,0.012479020092443657
1631664070731640,113.79830558513817,-0.585095331882384,0.00778026891563427,4.068500442560072,-6.1030785606628175,0.06683656997351156,-1.5755670885295134,-0.6017874081183948,-3.0982394381275515,-0.039390368963946584,0.03043540715427295,0.010871499405364506
1631664070831641,114.20757602812677,-1.1949954576264317,0.014704881541882084,4.116128656249361,-6.098769568247111,0.06858961191855768,-1.575735331041721,-0.5995971551896407,-3.09377604343319,-0.04746333440622382,0.014771968811121642,-0.011457478164416755
1631664070931642,114.62027817171024,-1.805705031267915,0.021072670552536005,4.130891561356504,-6.115713748651796,0.049833492017145986,-1.5774339629036558,-0.5985012876523117,-3.087250009241025,-0.05994070819752653,-0.0007987131681980259,-0.026630977944161
1631664071031644,115.0324064218919,-2.4195250354192597,0.025637820067274372,4.1091333374944305,-6.159701199571739,0.04432959047817628,-1.579834039117522,-0.598050440434949,-3.0823143524322134,-0.02586992770608543,0.004212120570502724,-0.012507767679468682
1631664071131645,115.44316243580003,-3.036114867945257,0.02925798161251783,4.109432675419391,-6.169569512697136,0.03512964329439712,-1.5824182198070869,-0.5987350700846569,-3.079907581157269,0.006728278863232521,-0.01531910366870143,-0.022613978628665477
1631664071231646,115.85508845141014,-3.6526335695993737,0.03248024503042629,4.137454062274045,-6.157907315962421,0.027534220864538897,-1.5847704557341715,-0.6002220717002137,-3.078596525405863,0.005816175552528418,-0.017109699702596102,-0.008931164595485458
1631664071281646,116.06223082719814,-3.9604335235765102,0.0334107745290349,4.147072507811333,-6.15708599215552,0.014992555077884015,-1.5857654683301117,-0.6010313611871186,-3.0777983378754703,-0.036050592497578464,-0.01797372757639741,-0.016057837886011766
1631664071431647,116.686172240673,-4.883719529911129,0.03302712446151844,4.170463578875285,-6.1541973835276815,0.0004348095747897357,-1.5892539760553372,-0.6034149237095245,-3.0737370164423483,-0.018334562482268318,-0.02508272267276001,-0.0022649618225617013
1631664071531648,117.10194813462493,-5.499240487112185,0.03261585966121128,4.147097540515071,-6.158936406166829,-0.0019254058690952,-1.591022811715982,-0.6053513925559276,-3.0727563079258524,0.006112949457312316,-0.018859497971204495,-0.013315625067229324
1631664071631649,117.51660896969132,-6.114716964413716,0.03208425762390582,4.146999865818839,-6.149865279043981,-0.005270473936085289,-1.5922306468942267,-0.6069388775587364,-3.0727389305091974,-0.01352772441119456,-0.016675800802315753,0.0054825565358614225
1631664071731650,117.93106806851894,-6.729093256495717,0.030347175348778746,4.1460585131880245,-6.138088676906368,-0.023391082515857912,-1.5921846839254983,-0.6080974992698805,-3.0737232722624688,0.021946266266814483,-0.00889832422577831,0.003006683641263433
1631664071831650,118.34610587307003,-7.342417381893676,0.028017042267715994,4.155663594279368,-6.134841441592964,-0.02040534674999891,-1.5921698072695154,-0.6086377586272547,-3.0741822688689724,-0.0018062825013646846,-0.003491482476999903,-0.0007350706055138835
1631664071931651,118.76148617211096,-7.956670593199009,0.025274854232575292,4.147096345331249,-6.151192973653753,-0.03628366018091084,-1.5938015995122796,-0.6090265338272987,-3.07319890792656,-0.0004205083250233073,-0.006157900204785469,-0.024559908816465092
1631664072031652,119.17611910806693,-8.570948693226828,0.021397636967485312,4.146755652747043,-6.125572275396142,-0.03631145668783121,-1.5967895199937843,-0.6094378971624614,-3.072998131495815,0.0031655567700357903,-0.006348541807984572,-0.020423650608225662
1631664072131653,119.59102553171007,-9.18189457603707,0.018795931673100466,4.1488489928401355,-6.095083034367829,-0.013918510776852858,-1.5970340118178388,-0.6101929788467428,-3.0730775841673528,0.010256175084912453,-0.009010523451710543,0.016500017603745382
1631664072231654,120.00465636188726,-9.789826666229224,0.01675111592028898,4.12608890707865,-6.06566205607824,-0.02446756756938194,-1.596165490011872,-0.6111282647246353,-3.074457008350376,0.014232200748572272,-0.013907086452180703,0.013552435820795343
